,Unnamed: 0,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
320,320,0.84,735,1.29,0.63,2
321,321,0.54,585,0.42,0.87,2
322,322,0.69,0.6599999999999999,1635,1125,1
323,323,1.05,0.84,1.2149999999999999,2025,3
324,324,0.54,585,0.42,1.5,2
325,325,0.78,705,1.7999999999999998,1.29,1
326,326,0.57,0.6,885,525,2
327,327,0.63,0.63,1335,375,2
328,328,0.63,0.63,1.2149999999999999,1125,2
329,329,1.2,0.9149999999999999,1.6199999999999999,0.75,1
330,330,1.41,1.02,2145,1.9949999999999999,0
331,331,0.75,0.69,0.40499999999999997,1635,2
332,332,0.84,0.75,0.96,1.68,3
333,333,0.84,0.75,1.74,1.2,1
334,334,0.87,765,1.9349999999999998,1065,1
335,335,0.96,0.8099999999999999,0.78,0.8999999999999999,2
336,336,0.99,825,1.9349999999999998,1035,1
337,337,0.75,705,765,1815,3
338,338,0.75,705,1.7249999999999999,1005,1
339,339,0.75,705,1125,1.4849999999999999,2
340,340,0.75,705,0.40499999999999997,1275,2
341,341,0.54,0.6,1.65,1.74,1
342,342,0.54,0.6,1.5899999999999999,1.14,2
343,343,0.21,435,0.6749999999999999,135,2
344,344,0.75,705,825,825,2
345,345,1.05,855,0.5549999999999999,765,2
346,346,1.38,1.02,0.69,0.87,2
347,347,1.47,1065,2175,1.2449999999999999,1
348,348,0.32999999999999996,495,0.7949999999999999,0.6749999999999999,2
349,349,1.05,855,1005,0.7949999999999999,2
350,350,0.54,0.6,1.56,0.6,2
351,351,0.63,645,1515,1.7249999999999999,3
352,352,1.17,0.9149999999999999,1275,1365,3
353,353,0.15,0.40499999999999997,945,1395,2
354,354,0.72,0.69,1.17,0.36,2
355,355,1.08,0.87,0.87,1.95,3
356,356,1.92,1.29,1.17,1.53,3
357,357,0.54,0.6,0.96,1.41,2
358,358,1.14,0.8999999999999999,1.26,1.56,3
359,359,1.53,1095,1.4549999999999998,1.2449999999999999,1
360,360,0.84,0.75,1.17,1.3199999999999998,2
361,361,2.16,1425,2.04,2.13,0
362,362,1.5,1095,1.95,1.6199999999999999,1
363,363,0.78,735,1.8599999999999999,1.8299999999999998,1
364,364,1.17,0.9299999999999999,0.6749999999999999,0.9149999999999999,2
365,365,0.57,0.63,1365,1755,3
366,366,1.3199999999999998,1005,1.47,1.5899999999999999,3
367,367,0.57,0.63,945,0.46499999999999997,2
368,368,1.05,0.87,1845,1.2149999999999999,1
369,369,0.96,825,0.48,1.53,2
370,370,1.05,0.87,1335,1.9949999999999999,3
371,371,0.57,0.63,1065,1.2449999999999999,2
372,372,1.74,1.2149999999999999,1.8299999999999998,1.92,0
373,373,0.12,0.40499999999999997,1.5,1.14,2
374,374,0.57,0.63,1095,1425,2
375,375,0.32999999999999996,0.51,1.2449999999999999,1515,2
376,376,1.47,1.08,855,0.9149999999999999,2
377,377,0.57,0.63,1635,765,2
378,378,0.6,645,1.65,0.6,2
379,379,0.6,645,1.17,1.65,2
380,380,0.8999999999999999,0.7949999999999999,0.87,1.38,2
381,381,0.42,0.5549999999999999,0.36,0.87,2
382,382,0.42,0.5549999999999999,0.87,1.65,2
383,383,1.38,1035,0.78,2.16,3
384,384,0.42,0.5549999999999999,0.87,0.54,2
385,385,1.5899999999999999,1.14,1185,2175,3
386,386,1.2,945,1.41,1.5899999999999999,3
387,387,1.5,1095,1.3499999999999999,1.71,3
388,388,1.3499999999999999,1.02,945,1275,3
389,389,1.05,0.87,1095,1035,2
390,390,0.42,0.5549999999999999,0.87,0.36,2
391,391,0.42,0.5549999999999999,0.8999999999999999,1.17,2
392,392,1.05,0.87,1005,1.4549999999999998,3
393,393,1.38,1035,2.19,2.01,0
394,394,1.05,0.87,1155,1275,2
395,395,1.41,1.05,1575,975,1
396,396,1.05,0.87,1785,1.9649999999999999,3
397,397,2.28,1.4849999999999999,1.47,1.14,0
398,398,1.05,0.87,1.2149999999999999,1.9649999999999999,3
399,399,1.05,0.87,705,0.9149999999999999,2
400,400,1.68,1185,1.68,2.28,0
401,401,1.23,0.96,0.6749999999999999,1.7249999999999999,3
402,402,1.2,945,0.6,1.7999999999999998,3
403,403,1.2,945,1.7999999999999998,1.71,1
404,404,1.29,0.99,1.9349999999999998,1155,1
405,405,1.89,1.29,1005,2205,3
406,406,1.05,0.87,645,1.4549999999999998,2
407,407,1.95,1.3199999999999998,1.2449999999999999,1005,1
408,408,0.75,0.72,1185,705,2
409,409,1.05,0.87,765,1365,2
410,410,1.05,0.87,1.4549999999999998,1.9649999999999999,3
411,411,0.78,735,0.99,0.87,2
412,412,1.38,1035,0.72,2.1,3
413,413,0.63,0.6599999999999999,1155,435,2
414,414,0.78,735,0.96,1.2,2
415,415,0.63,0.6599999999999999,705,735,2
416,416,0.63,0.6599999999999999,1305,0.6749999999999999,2
417,417,0.63,0.6599999999999999,1665,1575,1
418,418,0.63,0.6599999999999999,1515,705,2
419,419,1.8299999999999998,1.26,2205,1.7249999999999999,0
420,420,0.63,0.6599999999999999,1305,1815,3
421,421,0.63,0.6599999999999999,1155,1515,2
422,422,0.63,0.6599999999999999,495,0.6749999999999999,2
423,423,0.63,0.6599999999999999,375,1.4849999999999999,2
