,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
2168,0.33,0.294,0.363,0.333,0
2169,0.24,0.249,0.276,0.252,1
2170,0.09,0.17400000000000002,0.153,0.195,2
2171,0.132,0.195,0.078,0.24,2
2172,0.222,0.24,0.153,0.177,2
2173,0.306,0.28200000000000003,0.267,0.447,3
2174,0.168,0.213,0.324,0.228,1
2175,0.222,0.24,0.177,0.261,3
2176,0.084,0.171,0.114,0.192,2
2177,0.192,0.225,0.234,0.258,3
2178,0.294,0.276,0.249,0.405,3
2179,0.228,0.243,0.264,0.114,1
2180,0.21,0.234,0.267,0.153,1
2181,0.20400000000000001,0.231,0.36,0.12,1
2182,0.198,0.228,0.333,0.195,1
2183,0.27,0.264,0.393,0.41100000000000003,0
2184,0.192,0.225,0.168,0.108,2
2185,0.108,0.183,0.34800000000000003,0.17400000000000002,1
2186,0.222,0.24,0.327,0.267,1
2187,0.084,0.171,0.312,0.234,2
2188,0.192,0.225,0.366,0.366,1
2189,0.18,0.219,0.3,0.216,1
2190,0.324,0.291,0.366,0.222,1
2191,0.17400000000000002,0.216,0.111,0.14100000000000001,2
2192,0.24,0.249,0.222,0.132,2
2193,0.28200000000000003,0.27,0.231,0.375,3
2194,0.34800000000000003,0.303,0.42,0.234,0
2195,0.15,0.20400000000000001,0.35100000000000003,0.279,1
2196,0.20400000000000001,0.231,0.14400000000000002,0.10200000000000001,2
2197,0.192,0.225,0.252,0.366,3
2198,0.21,0.234,0.261,0.387,3
2199,0.24,0.249,0.41400000000000003,0.33,1
2200,0.39,0.324,0.417,0.249,0
2201,0.258,0.258,0.219,0.369,3
2202,0.192,0.225,0.378,0.21,1
2203,0.192,0.225,0.28800000000000003,0.378,3
2204,0.096,0.177,0.078,0.186,2
2205,0.192,0.225,0.378,0.276,1
2206,0.24,0.249,0.366,0.34800000000000003,1
2207,0.108,0.183,0.318,0.24,1
2208,0.198,0.228,0.147,0.183,2
2209,0.402,0.333,0.375,0.315,0
2210,0.354,0.309,0.375,0.35100000000000003,0
2211,0.276,0.27,0.234,0.366,3
2212,0.168,0.216,0.258,0.33,3
2213,0.14400000000000002,0.20400000000000001,0.3,0.27,1
2214,0.234,0.249,0.339,0.147,1
2215,0.198,0.231,0.363,0.249,1
2216,0.354,0.309,0.201,0.339,3
2217,0.276,0.27,0.162,0.258,3
2218,0.186,0.225,0.153,0.357,3
2219,0.108,0.186,0.084,0.108,2
2220,0.168,0.216,0.17400000000000002,0.09,2
2221,0.066,0.165,0.195,0.333,2
2222,0.10200000000000001,0.183,0.057,0.195,2
2223,0.222,0.243,0.153,0.171,2
2224,0.108,0.186,0.14400000000000002,0.132,2
2225,0.222,0.243,0.159,0.405,3
2226,0.252,0.258,0.258,0.24,1
2227,0.33,0.297,0.405,0.177,1
2228,0.306,0.28500000000000003,0.159,0.189,3
2229,0.324,0.294,0.444,0.45,0
2230,0.042,0.153,0.177,0.063,2
2231,0.21,0.23700000000000002,0.225,0.381,3
2232,0.294,0.279,0.405,0.267,1
2233,0.228,0.246,0.246,0.27,3
2234,0.18,0.222,0.372,0.108,1
2235,0.084,0.17400000000000002,0.114,0.042,2
2236,0.138,0.201,0.20700000000000002,0.183,2
2237,0.168,0.216,0.168,0.246,2
2238,0.168,0.216,0.096,0.27,2
2239,0.39,0.327,0.381,0.213,0
2240,0.108,0.186,0.14400000000000002,0.306,2
2241,0.15,0.20700000000000002,0.261,0.093,2
2242,0.084,0.17400000000000002,0.312,0.066,2
2243,0.294,0.279,0.267,0.147,1
2244,0.27,0.267,0.381,0.357,0
2245,0.222,0.243,0.315,0.309,1
2246,0.084,0.17400000000000002,0.28800000000000003,0.252,2
2247,0.258,0.261,0.363,0.171,1
2248,0.294,0.279,0.195,0.183,3
2249,0.108,0.186,0.132,0.10200000000000001,2
2250,0.216,0.24,0.192,0.20400000000000001,2
2251,0.252,0.258,0.402,0.252,1
2252,0.21,0.23700000000000002,0.291,0.14100000000000001,1
2253,0.156,0.21,0.324,0.33,1
2254,0.21,0.23700000000000002,0.243,0.23700000000000002,1
2255,0.246,0.255,0.261,0.189,1
2256,0.108,0.186,0.33,0.20400000000000001,1
2257,0.342,0.303,0.35100000000000003,0.195,1
2258,0.108,0.186,0.20400000000000001,0.198,2
2259,0.378,0.321,0.405,0.357,0
2260,0.276,0.27,0.264,0.28200000000000003,3
2261,0.318,0.291,0.195,0.195,3
2262,0.21,0.23700000000000002,0.357,0.213,1
2263,0.264,0.264,0.41400000000000003,0.354,0
