,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
7601,51,63.5,30.5,37.5,3
7602,40,58.0,63.0,57.0,0
7603,51,63.5,28.5,68.5,3
7604,47,61.5,64.5,50.5,0
7605,76,76.0,65.0,59.0,0
7606,37,56.5,30.5,61.5,3
7607,39,57.5,20.5,69.5,3
7608,37,56.5,66.5,45.5,1
7609,59,67.5,77.5,47.5,0
7610,25,50.5,14.5,23.5,2
7611,38,57.0,40.0,58.0,3
7612,59,67.5,74.5,61.5,0
7613,47,61.5,36.5,66.5,3
7614,55,65.5,33.5,49.5,3
7615,35,55.5,44.5,40.5,1
7616,31,53.5,33.5,29.5,2
7617,48,62.0,41.0,63.0,3
7618,43,59.5,68.5,46.5,0
7619,39,57.5,59.5,34.5,1
7620,55,65.5,34.5,36.5,3
7621,65,70.5,65.5,64.5,0
7622,48,62.0,42.0,24.0,1
7623,43,59.5,23.5,34.5,3
7624,25,50.5,12.5,44.5,2
7625,44,60.0,59.0,55.0,0
7626,51,63.5,33.5,54.5,3
7627,35,55.5,34.5,59.5,3
7628,66,71.0,46.0,38.0,0
7629,77,76.5,46.5,47.5,0
7630,48,62.0,70.0,34.0,1
7631,44,60.0,50.0,58.0,0
7632,54,65.0,71.0,28.0,1
7633,54,65.0,60.0,59.0,0
7634,44,60.0,38.0,69.0,3
7635,54,65.0,38.0,27.0,1
7636,18,47.0,31.0,14.0,2
7637,31,53.5,61.5,45.5,1
7638,35,55.5,59.5,54.5,1
7639,66,71.0,82.0,74.0,0
7640,67,71.5,75.5,43.5,0
7641,67,71.5,63.5,78.5,0
7642,23,49.5,27.5,46.5,3
7643,56,66.0,53.0,31.0,1
7644,67,71.5,67.5,57.5,0
7645,56,66.0,37.0,44.0,3
7646,67,71.5,36.5,53.5,0
7647,44,60.5,65.0,26.0,1
7648,18,47.5,24.0,43.0,2
7649,53,65.0,48.5,45.5,0
7650,64,70.5,36.0,79.0,0
7651,44,60.5,30.0,48.0,3
7652,65,71.0,49.5,69.5,0
7653,50,63.5,62.0,48.0,0
7654,48,62.5,71.0,56.0,0
7655,50,63.5,27.0,48.0,3
7656,31,54.0,52.5,44.5,1
7657,47,62.0,31.5,69.5,3
7658,50,63.5,39.0,49.0,3
7659,38,57.5,43.0,28.0,1
7660,35,56.0,66.5,55.5,1
7661,44,60.5,59.0,65.0,0
7662,26,51.5,53.0,47.0,1
7663,46,61.5,73.0,36.0,1
7664,78,77.5,59.0,66.0,0
7665,68,72.5,64.0,67.0,0
7666,56,66.5,74.0,61.0,0
7667,34,55.5,61.0,62.0,0
7668,51,64.0,42.5,32.5,1
7669,45,61.0,30.5,72.5,3
7670,47,62.0,65.5,69.5,0
7671,26,51.5,39.0,30.0,2
7672,49,63.0,43.5,72.5,0
7673,46,61.5,37.0,28.0,1
